Ciclo,Inicio,Fim,Estados únicos,Motivos únicos,Quantidade Linhas PreBack,Quantidade Linhas Backtest
D196,2023-11-13 15:38:31,2023-11-13 16:13:59,['desativada'],['Mantém estado'],4,4
D197,2023-11-13 16:25:44,2023-11-13 16:44:21,['desativada'],['Mantém estado'],3,3
D198,2023-11-13 17:42:34,2023-11-13 17:54:35,['desativada'],['Mantém estado'],3,3
D199,2023-11-14 09:34:04,2023-11-14 10:15:12,['desativada'],['Mantém estado'],6,6
D200,2023-11-16 09:07:32,2023-11-21 13:02:04,['desativada'],['Mantém estado'],274,274
D201,2023-11-21 13:39:55,2023-11-22 11:13:50,['desativada'],['Mantém estado'],50,50
D202,2023-11-22 11:31:47,2023-11-22 12:37:52,['desativada'],['Mantém estado'],7,7
D203,2023-11-22 13:09:07,2023-11-22 15:20:08,['desativada'],['Mantém estado'],21,21
D204,2023-11-22 16:00:38,2023-11-23 10:34:02,['desativada'],['Mantém estado'],24,24
D205,2023-11-23 10:50:51,2023-11-23 12:06:45,['desativada'],['Mantém estado'],9,9
D206,2023-11-23 13:02:37,2023-11-23 13:54:50,['desativada'],['Mantém estado'],7,7
D207,2023-11-23 14:37:24,2023-11-23 14:53:37,['desativada'],['Mantém estado'],6,6
D208,2023-11-23 15:04:32,2023-11-24 10:36:47,['desativada'],['Mantém estado'],41,41
D209,2023-11-24 10:47:42,2023-11-27 10:22:14,['desativada'],['Mantém estado'],46,46
D210,2023-11-27 11:22:12,2023-11-27 11:32:14,['desativada'],['Mantém estado'],2,2
D211,2023-11-27 12:13:24,2023-12-19 09:06:03,['desativada'],['Mantém estado'],1140,1140
D212,2023-12-19 09:17:28,2023-12-19 11:33:04,['desativada'],['Mantém estado'],15,15
D213,2023-12-19 11:59:01,2023-12-19 13:48:48,['desativada'],['Mantém estado'],16,16
D214,2023-12-19 14:32:02,2023-12-19 15:30:48,['desativada'],['Mantém estado'],14,14
D215,2023-12-19 16:41:00,2023-12-19 16:50:12,['desativada'],['Mantém estado'],3,3
D216,2023-12-19 17:55:01,2023-12-19 18:03:16,['desativada'],['Mantém estado'],3,3
D217,2023-12-20 10:21:35,2023-12-21 13:16:22,['desativada'],['Mantém estado'],110,110
D218,2023-12-21 13:51:12,2023-12-21 14:02:01,['desativada'],['Mantém estado'],3,3
D219,2023-12-21 14:20:55,2023-12-21 14:25:10,['desativada'],['Mantém estado'],3,3
D220,2023-12-21 15:17:15,2023-12-21 16:50:53,['desativada'],['Mantém estado'],11,11
D221,2023-12-21 16:58:02,2023-12-21 17:10:10,['desativada'],['Mantém estado'],3,3
D222,2023-12-21 17:54:04,2023-12-21 17:57:06,['desativada'],['Mantém estado'],2,2
D223,2023-12-22 09:17:50,2023-12-22 10:10:56,['desativada'],['Mantém estado'],9,9
D224,2023-12-22 10:38:57,2023-12-22 10:52:59,['desativada'],['Mantém estado'],3,3
D225,2023-12-22 11:36:01,2023-12-22 12:50:27,['desativada'],['Mantém estado'],13,13
D226,2023-12-22 12:56:28,2023-12-22 13:02:01,['desativada'],['Mantém estado'],3,3
D227,2023-12-22 13:10:23,2023-12-22 14:44:44,['desativada'],['Mantém estado'],15,15
D228,2023-12-22 15:38:46,2023-12-22 15:56:14,['desativada'],['Mantém estado'],3,3
D229,2023-12-22 16:05:15,2023-12-28 16:13:36,['desativada'],['Mantém estado'],229,229
D230,2023-12-28 17:02:50,2024-01-02 12:43:51,['desativada'],['Mantém estado'],39,39
D231,2024-01-02 13:04:22,2024-01-03 12:23:54,['desativada'],['Mantém estado'],68,68
D232,2024-01-03 12:34:59,2024-01-03 14:09:01,['desativada'],['Mantém estado'],16,16
D233,2024-01-03 14:15:08,2024-01-04 13:02:15,['desativada'],['Mantém estado'],68,68
D234,2024-01-04 13:14:08,2024-01-04 14:22:23,['desativada'],['Mantém estado'],6,6
D235,2024-01-04 14:44:26,2024-01-04 15:31:20,['desativada'],['Mantém estado'],7,7
D236,2024-01-04 15:37:52,2024-01-05 11:12:20,['desativada'],['Mantém estado'],37,37
D237,2024-01-05 12:06:34,2024-01-05 12:34:10,['desativada'],['Mantém estado'],4,4
D238,2024-01-05 12:59:12,2024-01-08 11:05:54,['desativada'],['Mantém estado'],63,63
D239,2024-01-08 12:04:58,2024-01-08 13:23:48,['desativada'],['Mantém estado'],10,10
D240,2024-01-08 13:30:11,2024-01-08 13:52:42,['desativada'],['Mantém estado'],7,7
D241,2024-01-08 14:13:25,2024-01-08 14:35:55,['desativada'],['Mantém estado'],3,3
D242,2024-01-08 15:24:02,2024-01-18 15:32:16,['desativada'],['Mantém estado'],540,540
D243,2024-01-18 15:46:10,2024-01-18 16:11:20,['desativada'],['Mantém estado'],4,4
D244,2024-01-18 16:38:33,2024-01-18 17:19:35,['desativada'],['Mantém estado'],7,7
D245,2024-01-18 17:44:09,2024-01-19 10:53:52,['desativada'],['Mantém estado'],14,14
D246,2024-01-19 11:01:48,2024-01-19 12:04:01,['desativada'],['Mantém estado'],10,10
D247,2024-01-19 13:11:43,2024-01-19 13:32:02,['desativada'],['Mantém estado'],4,4
D248,2024-01-19 13:38:07,2024-03-15 18:14:27,['desativada'],['Mantém estado'],2886,2886
